FEI Number,Recalling Firm Name,Product Type,Product Classification,Status,Distribution Pattern,Nationwide,Recalling Firm City,Recalling Firm State,Recalling Firm Country,Center Classification Date,Reason for Recall,Reason Category,Product Description,Event ID,Event Classification,Product ID
3004312676,HAR Maspeth Corp.,Food/Cosmetics,Class I,Ongoing,"NY, NJ, MA, CT, PA, MD, NC, IL, MI, GA",No,Maspeth,New York,United States,2025-03-21,Contains undeclared egg,Undeclared,"Jinga Glass Noodles with vegetables 8 oz. and 12 oz.

",96503,Class I,213039
2938745,Lyons Magnus LLC,Food/Cosmetics,Class I,Ongoing,"Distribution centers located throughout the U.S. and further distributed to sensitive populations located in long term care facilities, skilled nursing homes, hospitals, etc.",Yes,Fresno,California,United States,2025-03-20,Potential contamination with Listeria monocytogenes.,Listeria,"Ready Care Chocolate Shake (4 oz), UPC 10045796017341; 
Imperial Chocolate Shake (4 oz), UPC 00074865926997",96376,Class I,212741
3030625663,Prep'd CDA LLC,Food/Cosmetics,Class II,Ongoing,Distributed in ID and WA,No,Coeur D Alene,Idaho,United States,2025-03-20,"Undeclared soy lecithin and undeclared color additives Blue 1 Lake, Yellow 6, Red 40, Yellow 5, Blue 1, Yellow 6 Lake, Red 40 Lake, Yellow 5 Lake, Blue 2 Lake, Blue 2.",Undeclared,Chocolate Peanut Butter Protein Balls. Product has expected life of 2 weeks and does not require refrigeration. Product is packaged in sets of 2 protein balls into resealable plastic baggies. Net Wt. 78 grams.,96385,Class II,212743
3014064807,Growland Inc,Food/Cosmetics,Class II,Ongoing,"Product was distributed to customers in CA, TX, WA, OR, AZ, FL, NV",No,Chino,California,United States,2025-03-20,Elevated levels of Sulfites in Dried Longan Pulp,Others,"Dried Longan Pulp- Made in China, 8oz(227g), GROWLAND INC. 
rear panel- Organic Planted, Store in cool and dry place, Made in Thailand; UPC# 8 513041 327262",96264,Class II,212459
1000208927,The Fillo Factory Inc.,Food/Cosmetics,Class II,Ongoing,"The recalled product was distributed to the following states:  IL, MD, NJ, PA, DE",No,Northvale,New Jersey,United States,2025-03-20,Foreign material found in product (bolt),Others,"Chef's Line US Foods, Black Bean Burger, 36/4.25 oz., Product in a plastic bag in a cardboard box. approx. 36 pieces per case. Keep Frozen,",96354,Class II,212618
3031430765,"New Age International, Inc.",Food/Cosmetics,Class I,Ongoing,Distributed to wholesalers in NY that distributed to other states.,No,Brooklyn,New York,United States,2025-03-19,Contaminated with Listeria monocytogenes,Listeria,Daily Veggies Enoki Mushroom; Product of Korea; Net WT. 200 g (7.05 oz); KEEP REFRIGERATED; Cook through before,96480,Class I,213019
2917414,A C Calderoni & Co. Inc.,Food/Cosmetics,Class II,Completed,"To one direct consignee, located in California, who further distributed to foodservice distributors and restaurants.",No,Brisbane,California,United States,2025-03-19,Potential contamination with yeast (yeast growth in product),Others,"ORGEAT ALMOND SYRUP; 32 fl oz (946 ml); Glass bottle with screw-top lid; Contains: Sugar, Water, Citric Acid Natural Flavor, Sodium Benzoate; Refrigerate after opening",96265,Class II,212456
1520250,Great Lakes Cheese Co Inc,Food/Cosmetics,Class II,Ongoing,"Distributors in four (4) states: CT, MI, OH, and PA
",No,Hiram,Ohio,United States,2025-03-19,Potential foreign material (stainless steel fragments),Others,"Happy Farms by ALDI Colby Jack (a blend of Colby & Monterey Jack finely shredded cheeses), Net Wt. 12 OZ (340g), packaged in flexible plastic stand-up pouches, 12 pouches per case, UPC 4061463330840, with Best By dates of July 13, 2025 and July 14, 2025. Dist. & sold exclusively by ALDI, Batavia, IL 60510.",96341,Class II,212597
3008702225,The Karma Sauce Company LLC,Food/Cosmetics,Class II,Ongoing,"NC, OH, IN, IL",No,Rochester,New York,United States,2025-03-19,Possible foreign object contamination (plastic).,Others,"HOT ONES brand VERDE, Los Calientes Hot Sauce, BY HEATONIST; 1 gallon, 5 oz, and 5 gallon sizes; UPC: 8-51444-00803-5",96339,Class II,212586
2120498,Dairy State Foods Inc,Food/Cosmetics,Class II,Terminated,MI,No,Milwaukee,Wisconsin,United States,2025-03-19,Foreign object (metal),Others,"emd Oysterettes  (oyster crackers in polypropylene film).  0.75 oz.  Packed for and Distributed by emd, Detroit, MI  48212.",96525,Class II,213103
1000578168,Trong Food International,Food/Cosmetics,Class II,Ongoing,"3 distributor type customers. Two located in Maryland, the third located in Washington DC.",No,Santa Ana,California,United States,2025-03-18,Elevated levels of lead 5.48mg/kg and 2.59mg/kg in (2) lots of Madras Curry Powder.,Others,"Madras Curry Powder sold in 3 different package sizes. Recall has been expanded to include ALL LOTS. 
CA RI NI AN DO ""KIM TU THAP"", NET WT./ Poids NET 
(4oz.) 114 grams glass jar UPC# 39606001562
(4oz.) 114 grams plastic pouch UPC# 36906001544
(16oz.) plastic bottle UPC# 39606001548
",96229,Class II,212549
