NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024
United States,331515736,331577720,332099760,334017321,336806231,340110988
Northeast Region,57617706,57431458,57252533,57159597,57398303,57832935
New England,15122011,15057350,15118145,15175633,15263573,15386085
Middle Atlantic,42495695,42374108,42134388,41983964,42134730,42446850
Midwest Region,68998970,68984258,68872831,68903297,69186401,69596584
East North Central,47381362,47358568,47206851,47199092,47360185,47619171
West North Central,21617608,21625690,21665980,21704205,21826216,21977413
South Region,126281537,126476549,127368010,129037849,130893358,132665693
South Atlantic,66097951,66176865,66680852,67657171,68684308,69676509
East South Central,19405296,19427852,19469728,19599570,19759744,19916866
West South Central,40778290,40871832,41217430,41781108,42449306,43072318
West Region,78617523,78685455,78606386,78916578,79328169,80015776
Mountain,24928392,25008240,25284332,25557868,25840606,26167683
Pacific,53689131,53677215,53322054,53358710,53487563,53848093
Alabama,5025369,5033094,5049196,5076181,5117673,5157699
Alaska,733395,733017,734420,734442,736510,740133
Arizona,7158110,7187135,7274078,7377566,7473027,7582384
Arkansas,3011553,3014546,3026870,3047704,3069463,3088354
California,39555674,39521958,39142565,39142414,39198693,39431263
Colorado,5775324,5787129,5814036,5850935,5901339,5957493
Connecticut,3607701,3579918,3606607,3617925,3643023,3675069
Delaware,989955,991928,1005062,1020625,1036423,1051917
District of Columbia,689545,670917,669256,676725,687324,702250
Florida,21538192,21592035,21831949,22379312,22904868,23372215
Georgia,10713755,10732888,10792060,10931805,11064432,11180878
Hawaii,1455252,1451252,1447029,1440359,1441387,1446146
Idaho,1839140,1849415,1904848,1944299,1971122,2001619
Illinois,12821814,12799088,12700641,12621821,12642259,12710158
Indiana,6786587,6790497,6815907,6844545,6880131,6924275
Iowa,3190546,3191141,3198613,3202820,3218414,3241488
Kansas,2937745,2938172,2938338,2937324,2951500,2970606
Kentucky,4506302,4508318,4507583,4519233,4550595,4588372
Louisiana,4657874,4652301,4627971,4593687,4588071,4597740
Maine,1363196,1364571,1378931,1390922,1399646,1405012
Maryland,6181629,6177935,6179403,6192440,6217062,6263220
Massachusetts,7033132,6994598,7000474,7022468,7066568,7136171
Michigan,10079338,10072703,10041351,10050877,10083356,10140459
Minnesota,5706692,5710735,5718660,5721621,5753048,5793151
Mississippi,2961278,2958536,2947209,2941939,2943172,2943045
Missouri,6154854,6154744,6171374,6179414,6208038,6245466
Montana,1084216,1087230,1106522,1122095,1131302,1137233
Nebraska,1961996,1963387,1964537,1972246,1987864,2005465
Nevada,3105595,3116967,3148141,3176116,3214363,3267467
New Hampshire,1377546,1378756,1387677,1396678,1402199,1409032
New Jersey,9289014,9272794,9270541,9295227,9379642,9500851
New Mexico,2117555,2118606,2117333,2113868,2121164,2130256
New York,20203772,20105171,19848276,19703747,19737367,19867248
North Carolina,10441499,10449652,10564320,10710793,10881189,11046024
North Dakota,779046,779563,777966,781057,789047,796568
Ohio,11799453,11798905,11767344,11777874,11824034,11883304
Oklahoma,3959405,3965415,3992238,4026229,4063882,4095393
Oregon,4237224,4243779,4254280,4247372,4253653,4272371
Pennsylvania,13002909,12996143,13015571,12984990,13017721,13078751
Rhode Island,1097354,1096530,1097246,1099498,1103429,1112308
South Carolina,5118252,5132249,5194274,5287935,5387830,5478831
South Dakota,886729,887948,896492,909723,918305,924669
Tennessee,6912347,6927904,6965740,7062217,7148304,7227750
Texas,29149458,29239570,29570351,30113488,30727890,31290831
Utah,3271608,3284077,3339738,3391011,3443222,3503613
Vermont,643082,642977,647210,648142,648708,648493
Virginia,8631388,8637615,8658910,8683414,8734685,8811195
Washington,7707586,7727209,7743760,7794123,7857320,7958180
West Virginia,1793736,1791646,1785618,1774122,1770495,1769979
Wisconsin,5894170,5897375,5881608,5903975,5930405,5960975
Wyoming,576844,577681,579636,581978,585067,587618
Puerto Rico,3285874,3281590,3262711,3220137,3203792,3203295
