Year,Month,Reason Category,State,Count
2012,6,Others,California,9
2012,6,Others,Indiana,8
2012,6,Others,Oregon,3
2012,6,Others,Utah,2
2012,6,Others,Iowa,2
2012,6,Others,Virginia,1
2012,6,Others,Connecticut,1
2012,6,Others,Florida,3
2012,6,Others,Georgia,2
2012,6,Others,Illinois,1
2012,6,Others,Massachusetts,1
2012,6,Others,New Hampshire,2
2012,6,Others,New Jersey,1
2012,6,Others,Pennsylvania,1
2012,6,Others,Texas,4
2012,6,Others,Wisconsin,1
2012,6,Others,Nevada,4
2012,6,Others,Washington,3
2012,6,Others,Arizona,2
2012,6,Others,Colorado,1
2012,6,Others,Maryland,1
2012,6,Others,Missouri,1
2012,6,Others,Oklahoma,1
2012,6,Others,Tennessee,3
2012,6,Others,Hawaii,1
2012,6,Others,North Carolina,1
2012,6,Others,South Carolina,2
2012,6,Others,Alabama,1
2012,6,Others,Delaware,1
2012,6,Salmonella,Ohio,1
2012,6,Salmonella,South Carolina,1
2012,6,Salmonella,Illinois,1
2012,6,Salmonella,New Jersey,1
2012,6,Salmonella,Wisconsin,1
2012,6,Undeclared,Illinois,1
2012,6,Undeclared,Maryland,1
2012,6,Undeclared,Missouri,1
2012,6,Undeclared,Pennsylvania,2
2012,6,Undeclared,Wisconsin,2
2012,6,Undeclared,California,1
2012,6,Undeclared,Indiana,2
2012,6,Undeclared,North Carolina,2
2012,6,Undeclared,Michigan,2
2012,6,Undeclared,Arkansas,1
2012,6,Undeclared,Florida,1
2012,6,Undeclared,Georgia,1
2012,6,Undeclared,Massachusetts,1
2012,6,Undeclared,Minnesota,1
2012,6,Undeclared,New Hampshire,1
2012,6,Undeclared,Texas,1
2012,6,Undeclared,Washington,1
2012,7,Others,California,6
2012,7,Others,New York,4
2012,7,Others,Ohio,3
2012,7,Others,Indiana,7
2012,7,Others,Maryland,2
2012,7,Others,Pennsylvania,3
2012,7,Others,Virginia,2
2012,7,Others,Connecticut,2
2012,7,Others,Maine,1
2012,7,Others,Massachusetts,3
2012,7,Others,Rhode Island,2
2012,7,Others,Illinois,3
2012,7,Others,Alaska,1
2012,7,Others,Oregon,3
2012,7,Others,Washington,4
2012,7,Others,New Jersey,3
2012,7,Others,Michigan,3
2012,7,Others,Wisconsin,2
2012,7,Others,Alabama,1
2012,7,Others,Arizona,1
2012,7,Others,Arkansas,1
2012,7,Others,Colorado,1
2012,7,Others,Florida,1
2012,7,Others,Georgia,1
2012,7,Others,Idaho,1
2012,7,Others,Kansas,1
2012,7,Others,Kentucky,1
2012,7,Others,Minnesota,1
2012,7,Others,Missouri,2
2012,7,Others,Nebraska,1
2012,7,Others,Nevada,1
2012,7,Others,North Carolina,1
2012,7,Others,Oklahoma,1
2012,7,Others,South Carolina,1
2012,7,Others,South Dakota,1
2012,7,Others,Tennessee,1
2012,7,Others,Texas,2
2012,7,Others,Utah,1
2012,7,Others,West Virginia,1
2012,7,Others,Wyoming,1
2012,7,Others,Hawaii,1
2012,7,Others,New Mexico,1
2012,7,Others,Iowa,1
2012,7,Salmonella,Indiana,3
2012,7,Salmonella,Alabama,1
2012,7,Salmonella,Arizona,1
2012,7,Salmonella,Arkansas,1
2012,7,Salmonella,California,3
2012,7,Salmonella,Colorado,1
2012,7,Salmonella,Connecticut,1
2012,7,Salmonella,Delaware,1
2012,7,Salmonella,Florida,2
2012,7,Salmonella,Georgia,1
2012,7,Salmonella,Illinois,1
2012,7,Salmonella,Iowa,1
2012,7,Salmonella,Kansas,1
2012,7,Salmonella,Kentucky,2
2012,7,Salmonella,Louisiana,1
2012,7,Salmonella,Maine,1
2012,7,Salmonella,Maryland,1
2012,7,Salmonella,Massachusetts,1
2012,7,Salmonella,Michigan,1
2012,7,Salmonella,Minnesota,1
2012,7,Salmonella,Mississippi,1
2012,7,Salmonella,Missouri,1
2012,7,Salmonella,Nebraska,1
2012,7,Salmonella,Nevada,2
2012,7,Salmonella,New Hampshire,1
2012,7,Salmonella,New Mexico,1
2012,7,Salmonella,New York,1
2012,7,Salmonella,North Carolina,1
2012,7,Salmonella,Ohio,1
2012,7,Salmonella,Oklahoma,1
2012,7,Salmonella,Pennsylvania,1
2012,7,Salmonella,Rhode Island,1
2012,7,Salmonella,South Carolina,1
2012,7,Salmonella,Tennessee,1
2012,7,Salmonella,Texas,1
2012,7,Salmonella,Vermont,1
2012,7,Salmonella,Virginia,1
2012,7,Salmonella,Washington,1
2012,7,Salmonella,West Virginia,1
2012,7,Salmonella,Wisconsin,1
2012,7,Salmonella,Utah,1
2012,7,Undeclared,California,2
2012,7,Undeclared,Alabama,3
2012,7,Undeclared,Arkansas,1
2012,7,Undeclared,Colorado,1
2012,7,Undeclared,Connecticut,1
2012,7,Undeclared,Florida,1
2012,7,Undeclared,Georgia,3
2012,7,Undeclared,Illinois,1
2012,7,Undeclared,Kansas,1
2012,7,Undeclared,Louisiana,1
2012,7,Undeclared,Maryland,1
2012,7,Undeclared,Michigan,2
2012,7,Undeclared,Minnesota,1
2012,7,Undeclared,Mississippi,2
2012,7,Undeclared,Nebraska,1
2012,7,Undeclared,Nevada,1
2012,7,Undeclared,New York,1
2012,7,Undeclared,Oregon,2
2012,7,Undeclared,Pennsylvania,1
2012,7,Undeclared,Tennessee,2
2012,7,Undeclared,Texas,2
2012,7,Undeclared,Utah,1
2012,7,Undeclared,Vermont,1
2012,7,Undeclared,Washington,2
2012,7,Undeclared,Wisconsin,1
2012,7,Undeclared,Arizona,1
2012,7,Undeclared,Indiana,2
2012,7,Undeclared,Delaware,1
2012,7,Undeclared,Massachusetts,1
2012,7,Undeclared,North Carolina,1
2012,7,Undeclared,Virginia,1
2012,8,Listeria,Illinois,3
2012,8,Listeria,Indiana,4
2012,8,Listeria,Kentucky,2
2012,8,Listeria,Michigan,2
2012,8,Listeria,Ohio,3
2012,8,Listeria,Connecticut,1
2012,8,Listeria,Maine,1
2012,8,Listeria,Massachusetts,1
2012,8,Listeria,New Hampshire,1
2012,8,Listeria,New Jersey,2
2012,8,Listeria,New York,2
2012,8,Listeria,Rhode Island,1
2012,8,Listeria,Florida,4
2012,8,Listeria,Georgia,4
2012,8,Listeria,Maryland,1
2012,8,Listeria,North Carolina,3
2012,8,Listeria,Pennsylvania,1
2012,8,Listeria,South Carolina,4
2012,8,Listeria,Virginia,1
2012,8,Listeria,Kansas,1
2012,8,Listeria,Missouri,1
2012,8,Listeria,Oklahoma,2
2012,8,Listeria,Alabama,3
2012,8,Listeria,Tennessee,3
2012,8,Listeria,Mississippi,1
2012,8,Listeria,Nebraska,1
2012,8,Listeria,Nevada,2
2012,8,Listeria,New Mexico,1
2012,8,Listeria,Texas,1
2012,8,Listeria,Wisconsin,1
2012,8,Listeria,Arizona,1
2012,8,Listeria,California,1
2012,8,Listeria,Iowa,1
2012,8,Others,Arizona,2
2012,8,Others,California,8
2012,8,Others,Utah,2
2012,8,Others,Colorado,2
2012,8,Others,Illinois,2
2012,8,Others,Indiana,9
2012,8,Others,Texas,2
2012,8,Others,Michigan,1
2012,8,Others,Kansas,2
2012,8,Others,New Hampshire,1
2012,8,Others,New York,1
2012,8,Others,Oregon,3
2012,8,Others,Pennsylvania,1
2012,8,Others,Washington,5
2012,8,Others,Kentucky,1
2012,8,Others,Ohio,1
2012,8,Others,North Carolina,2
2012,8,Others,Virginia,1
2012,8,Others,New Jersey,1
2012,8,Others,Georgia,2
2012,8,Others,South Carolina,1
2012,8,Others,Tennessee,1
2012,8,Others,Nevada,1
2012,8,Salmonella,California,1
2012,8,Salmonella,Indiana,1
2012,8,Salmonella,Michigan,1
2012,8,Salmonella,Minnesota,1
2012,8,Salmonella,Wisconsin,1
2012,8,Undeclared,Indiana,4
2012,8,Undeclared,Oregon,2
2012,8,Undeclared,Arizona,1
2012,8,Undeclared,Kansas,1
2012,8,Undeclared,Minnesota,1
2012,8,Undeclared,North Dakota,1
2012,8,Undeclared,South Dakota,1
2012,8,Undeclared,California,4
2012,8,Undeclared,Washington,2
2012,8,Undeclared,Arkansas,1
2012,8,Undeclared,Nevada,1
2012,8,Undeclared,Utah,1
2012,8,Undeclared,Michigan,1
2012,9,Listeria,Idaho,1
2012,9,Listeria,Indiana,4
2012,9,Listeria,Montana,2
2012,9,Listeria,Washington,2
2012,9,Listeria,Alabama,1
2012,9,Listeria,Arkansas,1
2012,9,Listeria,Connecticut,1
2012,9,Listeria,Delaware,1
2012,9,Listeria,Florida,3
2012,9,Listeria,Georgia,2
2012,9,Listeria,Illinois,1
2012,9,Listeria,Iowa,1
2012,9,Listeria,Kentucky,1
2012,9,Listeria,Louisiana,1
2012,9,Listeria,Maine,1
2012,9,Listeria,Maryland,1
